,state
744,Mato Grosso
745,Santa Catarina
746,Pernambuco
747,Ceara
748,Espirito Santo
749,Sao Paulo
750,Parana
751,Minas Gerais
752,Minas Gerais
753,Goias
754,Pernambuco
755,Sao Paulo
756,Bahia
757,Pernambuco
758,Rio Grande do Sul
759,Rio de Janeiro
760,Pernambuco
761,Sergipe
762,Sao Paulo
763,Rio Grande do Norte
764,Rio Grande do Sul
765,Minas Gerais
766,Sao Paulo
767,Minas Gerais
768,Minas Gerais
769,Rio Grande do Norte
770,Rio de Janeiro
771,Santa Catarina
772,Ceara
773,Minas Gerais
774,Santa Catarina
775,Minas Gerais
776,Bahia
777,Rio de Janeiro
778,Parana
779,Rio Grande do Sul
780,Minas Gerais
781,Sao Paulo
782,Ceara
783,Maranhao
784,Santa Catarina
785,Minas Gerais
786,Minas Gerais
787,Parana
788,Sergipe
789,Sao Paulo
790,Para
791,Sergipe
792,Sao Paulo
793,Santa Catarina
794,Minas Gerais
795,Rio Grande do Sul
796,Sao Paulo
797,Paraiba
798,Parana
799,Minas Gerais
800,Rio Grande do Sul
801,Sao Paulo
802,Santa Catarina
803,Pernambuco
804,Pernambuco
805,Pernambuco
806,Rio Grande do Sul
807,Pernambuco
808,Minas Gerais
809,Minas Gerais
810,Pernambuco
811,Rio Grande do Sul
812,Rio Grande do Sul
813,Para
814,Minas Gerais
815,Sao Paulo
816,Parana
817,Amazonas
818,Rio de Janeiro
819,Minas Gerais
820,Minas Gerais
821,Amazonas
822,Rio Grande do Sul
823,Minas Gerais
824,Bahia
825,Sao Paulo
826,Bahia
827,Sao Paulo
828,Santa Catarina
829,Minas Gerais
830,Amazonas
831,Bahia
832,Minas Gerais
833,Sao Paulo
834,Rondonia
835,Rio Grande do Norte
836,Bahia
837,Sao Paulo
838,Minas Gerais
839,Santa Catarina
840,Sao Paulo
841,Sao Paulo
842,Minas Gerais
843,Rio Grande do Sul
844,Minas Gerais
845,Rio Grande do Sul
846,Sao Paulo
847,Piaui
848,Bahia
849,Santa Catarina
850,Parana
851,Pernambuco
852,Sao Paulo
853,Sao Paulo
854,Goias
855,Rio de Janeiro
856,Santa Catarina
857,Piaui
858,Tocantins
859,Rio Grande do Sul
860,Sao Paulo
861,Parana
862,Rio Grande do Sul
863,Rio Grande do Sul
864,Ceara
865,Piaui
866,Rio Grande do Sul
867,Bahia
868,Ceara
869,Pernambuco
870,Bahia
871,Rio de Janeiro
872,Sao Paulo
873,Rio Grande do Sul
874,Santa Catarina
875,Sao Paulo
876,Pernambuco
877,Minas Gerais
878,Paraiba
879,Bahia
880,Rio Grande do Sul
881,Maranhao
882,Minas Gerais
883,Sao Paulo
884,Minas Gerais
885,Sao Paulo
886,Sao Paulo
887,Minas Gerais
888,Rio de Janeiro
889,Sao Paulo
890,Amazonas
891,Sao Paulo
892,Sao Paulo
893,Sao Paulo
894,Goias
895,Santa Catarina
896,Rio de Janeiro
897,Bahia
898,Santa Catarina
899,Espirito Santo
900,Sao Paulo
901,Pernambuco
902,Paraiba
903,Espirito Santo
904,Espirito Santo
905,Sao Paulo
906,Sao Paulo
907,Sao Paulo
908,Sao Paulo
909,Goias
910,Paraiba
911,Parana
912,Santa Catarina
913,Rio Grande do Sul
914,Rio Grande do Sul
915,Goias
916,Minas Gerais
917,Sao Paulo
918,Sao Paulo
919,Mato Grosso do Sul
920,Santa Catarina
921,Sao Paulo
922,Sergipe
923,Parana
924,Pernambuco
925,Rio Grande do Sul
926,Paraiba
927,Paraiba
928,Sao Paulo
929,Santa Catarina
930,Pernambuco
931,Sao Paulo
932,Sao Paulo
933,Parana
934,Minas Gerais
935,Parana
936,Minas Gerais
937,Minas Gerais
938,Rio Grande do Norte
939,Parana
940,Ceara
941,Pernambuco
942,Bahia
943,Pernambuco
944,Sao Paulo
945,Rondonia
946,Bahia
947,Parana
948,Minas Gerais
949,Minas Gerais
950,Amazonas
951,Rio de Janeiro
952,Espirito Santo
953,Parana
954,Rio Grande do Sul
955,Bahia
956,Sao Paulo
957,Amazonas
958,Maranhao
959,Rio Grande do Sul
960,Sao Paulo
961,Rio Grande do Sul
962,Sao Paulo
963,Pernambuco
964,Sergipe
965,Bahia
966,Minas Gerais
967,Minas Gerais
968,Minas Gerais
969,Goias
970,Alagoas
971,Sao Paulo
972,Santa Catarina
973,Bahia
974,Espirito Santo
975,Rio Grande do Sul
976,Minas Gerais
977,Rio Grande do Sul
978,Rio Grande do Sul
979,Minas Gerais
980,Bahia
981,Sao Paulo
982,Piaui
983,Sao Paulo
984,Minas Gerais
985,Amazonas
986,Rio de Janeiro
987,Pernambuco
988,Sao Paulo
989,Minas Gerais
990,Sao Paulo
991,Goias
992,Sao Paulo
993,Amazonas
994,Sao Paulo
995,Parana
996,Rio Grande do Sul
997,Sao Paulo
998,Mato Grosso
999,Alagoas
1000,Sao Paulo
1001,Sao Paulo
1002,Minas Gerais
1003,Sao Paulo
1004,Parana
1005,Bahia
1006,Minas Gerais
1007,Santa Catarina
1008,Parana
1009,Sao Paulo
1010,Rio Grande do Sul
1011,Espirito Santo
1012,Rio de Janeiro
1013,Sao Paulo
1014,Mato Grosso
1015,Sao Paulo
1016,Sao Paulo
1017,Amazonas
1018,Minas Gerais
1019,Sao Paulo
